X,Y,OBJECTID,COUNTY,DATE_STAMP,DESCRIPTION_BSL,DIRECTION_OP,DIST,DLAT_GIS,DLONG_GIS,MB_DIR,MUNICIPALITY,PLACE_NO,STOP_NUM,STOP_TYPE,STREET_DIR,ALL_LINES
609959.570937827,738236.242911153,1,Bergen,2024/09/15 00:00:00+00,TERRACE AVE AT FRANKLIN AVE,Ou,0,40.85936,-74.07403,,HASBROUCK HEIGHTS,,12286,NS,N,76
610900.379423663,739572.207758904,2,Bergen,2024/09/15 00:00:00+00,TERRACE AVE AT MADISON AVE,Ou,0,40.863,-74.07058,,HASBROUCK HEIGHTS,,12287,NS,N,76
611874.40076958,740921.783799902,3,Bergen,2024/09/15 00:00:00+00,TERRACE AVE AT WILLIAMS AVE,Ou,0,40.86671,-74.06706,,HASBROUCK HEIGHTS,HASBHGTS,12288,NS,N,76
612695.922748581,742142.784310654,4,Bergen,2024/09/15 00:00:00+00,TERRACE AVE AT PASADENA TER,Ou,0,40.87002,-74.06402,,HASBROUCK HEIGHTS,,12289,NS,N,76
612635.132515829,742158.497533821,5,Bergen,2024/09/15 00:00:00+00,TERRACE AVE AT PASADENA TER,In,0,40.87005,-74.06421,,HASBROUCK HEIGHTS,,12290,FS,S,"161, 76"
611918.541757412,741081.209990241,6,Bergen,2024/09/15 00:00:00+00,TERRACE AVE AT WILLIAMS AVE,In,0,40.86709,-74.0668,,HASBROUCK HEIGHTS,HASBHGTS,12291,NS,S,"161, 76"
610890.90372083,739662.105873071,7,Bergen,2024/09/15 00:00:00+00,TERRACE AVE AT WILLIAMS AVE,In,0,40.86319,-74.07051,,HASBROUCK HEIGHTS,,12292,NS,S,76
609972.590596829,738356.597657323,8,Bergen,2024/09/15 00:00:00+00,TERRACE AVE AT FRANKLIN AVE,In,0,40.85964,-74.07389,,HASBROUCK HEIGHTS,,12293,NS,S,76
609219.388363078,737126.593227573,9,Bergen,2024/09/15 00:00:00+00,TERRACE AVE AT HENRY ST,In,0,40.85629,-74.07666,,HASBROUCK HEIGHTS,,12294,NS,S,76
608653.317644827,735180.110571988,10,Bergen,2024/09/15 00:00:00+00,TERRACE AVE AT LINCOLN AVE,In,0,40.85094,-74.07871,,HASBROUCK HEIGHTS,,12295,NS,S,76
610613.630653329,741938.606569402,11,Bergen,2024/09/14 00:00:00+00,WILLIAMS AVE AT BOULEVARD,In,0,40.86952,-74.07151,,HASBROUCK HEIGHTS,WILLBOUL,12296,FS,E,"161, 709"
611814.605613578,741010.307572991,12,Bergen,2024/09/14 00:00:00+00,WILLIAMS AVE AT TERRACE AVE,In,0,40.86695,-74.06719,,HASBROUCK HEIGHTS,,12297,NS,E,161
612429.820918579,740537.511602573,13,Bergen,2024/09/14 00:00:00+00,WILLIAMS AVE at RT-17,In,0,40.86561,-74.06501,,HASBROUCK HEIGHTS,,12298,NS,E,161
611643.280824997,741224.529913574,14,Bergen,2024/09/14 00:00:00+00,WILLIAMS AVE AT BURTON AVE,Ou,0,40.86748,-74.06787,,HASBROUCK HEIGHTS,,12300,NS,W,161
610662.21749841,741976.581887156,15,Bergen,2024/09/15 00:00:00+00,WILLIAMS AVE AT BOULEVARD,In,0,40.86958,-74.07138,,HASBROUCK HEIGHTS,WILLBOUL,12301,FS,W,"161, 709"
609769.229783081,740510.852863237,16,Bergen,2024/09/15 00:00:00+00,BOULEVARD AT MADISON AVE,Ou,0,40.86558,-74.07463,,HASBROUCK HEIGHTS,,12307,NS,S,"163, 164, 780"
609538.43595333,740121.853641242,17,Bergen,2024/09/15 00:00:00+00,BOULEVARD AT CENTRAL AVE,In,0,40.86452,-74.07548,,HASBROUCK HEIGHTS,,12308,NS,N,"163, 164, 780"
634415.898993578,773104.129540071,18,Bergen,2024/09/14 00:00:00+00,MASSACHUSETTS AVE AT WASHINGTON AVE,In,0,40.95463,-73.98482,,HAWORTH,CHESBEND,12312,FS,W,"167, 177, 186"
634696.608077828,774312.084473237,19,Bergen,2024/09/14 00:00:00+00,SCHRAALENBURGH RD AT HARDENBURG AVE,Ou,0,40.95799,-73.98382,,HAWORTH,,12313,NS,N,"167, 177"
634735.139168747,775172.205784492,20,Bergen,2024/09/14 00:00:00+00,SCHRAALENBURGH RD AT MADISON AVE,Ou,0,40.96035,-73.98366,,HAWORTH,,12314,NS,N,"167, 177"
634849.499504328,777001.165709242,21,Bergen,2024/09/14 00:00:00+00,SCHRAALENBURGH RD AT PROSPECT AVE,Ou,0,40.96537,-73.98323,,HAWORTH,,12315,NS,N,"167, 177"
634788.192868412,776981.784514405,22,Bergen,2024/09/14 00:00:00+00,SCHRAALENBURGH RD AT PROSPECT AVE,In,0,40.96531,-73.9833,,HAWORTH,,12316,FS,S,"167, 177"
634667.818437245,775008.937410235,23,Bergen,2024/09/14 00:00:00+00,SCHRAALENBURGH RD AT HAWORTH AVE,In,0,40.9599,-73.98383,,HAWORTH,,12317,FS,S,"167, 177"
634633.537993997,774251.296865158,24,Bergen,2024/09/14 00:00:00+00,SCHRAALENBURGH RD AT HARDENBURG AVE,In,0,40.95782,-73.98395,,HAWORTH,,12318,FS,S,"167, 177"
632601.33372508,737045.49496457,25,Bergen,2024/09/15 00:00:00+00,BROAD AVE AT SYLVAN AVE,Ou,0,40.85576,-73.99221,,LEONIA,,12381,NS,N,"166, 751"
632945.255937494,737676.016997486,26,Bergen,2024/09/15 00:00:00+00,BROAD AVE AT PARK AVE,Ou,0,40.85749,-73.99097,,LEONIA,,12382,NS,N,"166, 751"
633240.880018163,738213.750502072,27,Bergen,2024/09/15 00:00:00+00,BROAD AVE AT WESTVIEW AVE,Ou,0,40.85897,-73.98991,,LEONIA,,12383,NS,N,"166, 751"
633531.066117577,738760.946586154,28,Bergen,2024/09/15 00:00:00+00,BROAD AVE AT CRESCENT AVE,Ou,0,40.86046,-73.98883,,LEONIA,BRD&CRSC,12384,NS,N,"166, 751"
633831.935594577,739309.624294572,29,Bergen,2024/09/14 00:00:00+00,BROAD AVE AT FORT LEE RD,Ou,0,40.86197,-73.98775,,LEONIA,BRD&FLEE,12385,FS,N,166
606285.601907831,744292.255405404,30,Bergen,2024/09/14 00:00:00+00,MEMORIAL DR AT WASHINGTON ST,In,0,40.87602,-74.08719,,LODI,,12478,NS,N,"161, 709"
634467.487473078,740506.108778238,31,Bergen,2024/09/15 00:00:00+00,BROAD AVE AT HILLSIDE AVE,In,0,40.86523,-73.9854,,LEONIA,,12386,NS,N,"166, 756"
634851.798056163,741225.052878402,32,Bergen,2024/09/15 00:00:00+00,BROAD AVE AT CHRISTIE HEIGHTS ST,In,0,40.8672,-73.984,,LEONIA,,12387,NS,N,"166, 756"
635186.448633578,741843.732743405,33,Bergen,2024/09/15 00:00:00+00,BROAD AVE AT VREELAND AVE,In,0,40.86889,-73.98277,,LEONIA,,12388,FS,N,"166, 756"
635445.223050412,742331.764247656,34,Bergen,2024/09/15 00:00:00+00,BROAD AVE AT OVERLOOK AVE,In,0,40.87022,-73.98181,,LEONIA,,12389,FS,N,"166, 756"
604839.405653246,742934.352281325,35,Bergen,2024/09/15 00:00:00+00,PASSAIC AVE AT HOME PL,In,0,40.87226,-74.09238,,LODI,,12481,FS,S,709
605943.886055827,747383.256441236,36,Bergen,2024/09/14 00:00:00+00,US-46 AT WESTMINSTER PL,In,0,40.88451,-74.08832,,LODI,RT46WEST,12483,FS,E,"151, 161"
631057.977887914,758430.175620325,37,Bergen,2024/09/15 00:00:00+00,WASHINGTON AVE AT SYLVAN AVE,Ou,0,40.91446,-73.99734,,BERGENFIELD,,11036,NS,N,"167, 177, 186, 753, 772"
416706.650357828,225085.873216569,38,Atlantic,2024/09/15 00:00:00+00,US-40 150'E OF HOOVER DR,In,150,39.45104,-74.76711,E,HAMILTON TWP,,10568,MB,W,553
635692.598539911,742791.617986739,39,Bergen,2024/09/15 00:00:00+00,BROAD AVE AT RT. 95 EXIT RAMP,In,0,40.87148,-73.98091,,LEONIA,,12390,NS,N,"166, 756"
610151.771340828,744513.673925824,40,Bergen,2024/09/14 00:00:00+00,US-46 at CHRISTOPHER ST,In,0,40.8766,-74.07313,,LODI,,12486,NS,E,"151, 161"
631119.206768081,759003.804722406,41,Bergen,2024/09/15 00:00:00+00,WASHINGTON AVE AT ENGLEWOOD AVE,Ou,0,40.91603,-73.99711,,BERGENFIELD,,11037,NS,N,"167, 177, 186, 753, 772"
415341.05269533,225791.081451818,42,Atlantic,2024/09/15 00:00:00+00,US-40 AT PINELAND GARDENS,In,0,39.453,-74.77193,,HAMILTON TWP,,10569,FS,W,553
619453.952211495,740969.886065908,43,Bergen,2024/09/14 00:00:00+00,HUDSON ST AT VREELAND AVE,In,0,40.86671,-74.03957,,HACKENSACK,,12146,NS,S,165
610699.239405997,744093.713151574,44,Bergen,2024/09/14 00:00:00+00,US-46 at SAVOIE ST,In,0,40.87544,-74.07116,,LODI,,12487,NS,E,"151, 161"
631168.994398162,759929.633251324,45,Bergen,2024/09/15 00:00:00+00,WASHINGTON AVE AT MAGNOLIA ST,Ou,0,40.91857,-73.99691,,BERGENFIELD,,11038,NS,N,"167, 177, 186, 753, 772"
406158.435889997,230475.175758153,46,Atlantic,2024/09/15 00:00:00+00,US-40 AT HARLEY AVE,In,0,39.46576,-74.80452,,HAMILTON TWP,,10570,NS,W,553
619707.821126331,740147.290926322,47,Bergen,2024/09/14 00:00:00+00,HUDSON ST AT SHAFER PL,In,0,40.86445,-74.03866,,HACKENSACK,,12147,FS,S,165
610653.550192911,744256.784675822,48,Bergen,2024/09/14 00:00:00+00,US-46 at NORTH SAVOIE ST,Ou,0,40.87582,-74.07139,,LODI,,12488,FS,W,"151, 161"
